證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","46,790,503","3,463,425,684","74.95","75.25","72.80","72.80","-2.05","23,021"
"0051","元大中型100","43,172","1,177,199","27.30","27.57","26.75","26.75","-0.52","45"
"0052","富邦科技","161,425","9,156,750","57.60","57.60","55.35","55.35","-2.35","67"
